Name,SKU,Power,Base Curve,Diameter
DAILIES AquaComfort Plus (90 lenses),846566845323,-15.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),846566845316,-14.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),846566845309,-14.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),846566845293,-13.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),846566845286,-13.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),846566845279,-12.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),846566845262,-12.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),846566845255,-11.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),846566845248,-11.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),846566845231,-10.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476708,-10.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476692,-9.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476685,-9.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476678,-8.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476661,-8.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476654,-7.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476647,-7.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476630,-6.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476623,-6.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476616,-5.75,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476609,-5.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476593,-5.25,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476586,-5.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476579,-4.75,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476562,-4.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476555,-4.25,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476548,-4.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476531,-3.75,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476524,-3.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476517,-3.25,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476500,-3.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476494,-2.75,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476487,-2.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476470,-2.25,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476463,-2.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476456,-1.75,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476449,-1.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476432,-1.25,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476425,-1.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476418,-0.75,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476401,-0.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476395,0.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476388,0.75,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476371,1.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476364,1.25,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476357,1.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476340,1.75,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476333,2.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476326,2.25,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476319,2.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476302,2.75,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476296,3.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476289,3.25,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476272,3.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476265,3.75,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476258,4.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476241,4.25,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476234,4.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476227,4.75,8.7,14
DAILIES AquaComfort Plus (90 lenses),,5.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476203,5.25,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476197,5.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476180,5.75,8.7,14
DAILIES AquaComfort Plus (90 lenses),630175476173,6.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),846566845194,6.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),846566845200,7.00,8.7,14
DAILIES AquaComfort Plus (90 lenses),846566845217,7.50,8.7,14
DAILIES AquaComfort Plus (90 lenses),846566845224,8.00,8.7,14
