Name,SKU,Power,Base Curve,Diameter
Dailies Total 1 (90 lenses),630175508553,-12.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508546,-11.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508539,-11.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508522,-10.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508515,-10.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508508,-9.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508492,-9.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508485,-8.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508478,-8.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508461,-7.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508454,-7.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508447,-6.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508430,-6.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508423,-5.75,8.5,14.1
Dailies Total 1 (90 lenses),630175508416,-5.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508409,-5.25,8.5,14.1
Dailies Total 1 (90 lenses),630175508393,-5.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508386,-4.75,8.5,14.1
Dailies Total 1 (90 lenses),630175508379,-4.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508362,-4.25,8.5,14.1
Dailies Total 1 (90 lenses),630175508355,-4.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508348,-3.75,8.5,14.1
Dailies Total 1 (90 lenses),630175508331,-3.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508324,-3.25,8.5,14.1
Dailies Total 1 (90 lenses),630175508317,-3.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508300,-2.75,8.5,14.1
Dailies Total 1 (90 lenses),630175508294,-2.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508287,-2.25,8.5,14.1
Dailies Total 1 (90 lenses),630175508270,-2.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508263,-1.75,8.5,14.1
Dailies Total 1 (90 lenses),630175508256,-1.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508249,-1.25,8.5,14.1
Dailies Total 1 (90 lenses),630175508232,-1.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508225,-0.75,8.5,14.1
Dailies Total 1 (90 lenses),630175508218,-0.50,8.5,14.1
Dailies Total 1 (90 lenses),,0.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508195,0.75,8.5,14.1
Dailies Total 1 (90 lenses),630175508188,1.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508171,1.25,8.5,14.1
Dailies Total 1 (90 lenses),630175508164,1.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508157,1.75,8.5,14.1
Dailies Total 1 (90 lenses),630175508140,2.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508133,2.25,8.5,14.1
Dailies Total 1 (90 lenses),630175508126,2.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508119,2.75,8.5,14.1
Dailies Total 1 (90 lenses),630175508102,3.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508096,3.25,8.5,14.1
Dailies Total 1 (90 lenses),630175508089,3.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508072,3.75,8.5,14.1
Dailies Total 1 (90 lenses),630175508065,4.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508058,4.25,8.5,14.1
Dailies Total 1 (90 lenses),630175508041,4.50,8.5,14.1
Dailies Total 1 (90 lenses),630175508034,4.75,8.5,14.1
Dailies Total 1 (90 lenses),630175508027,5.00,8.5,14.1
Dailies Total 1 (90 lenses),630175508010,5.25,8.5,14.1
Dailies Total 1 (90 lenses),630175508003,5.50,8.5,14.1
Dailies Total 1 (90 lenses),630175507990,5.75,8.5,14.1
Dailies Total 1 (90 lenses),630175507983,6.00,8.5,14.1
