Product Name,SKU,Power,Base Curve,Diameter
Dailies aqua comfort plus 30,846566845149,-13,8.7,14
Dailies aqua comfort plus 30,846566845132,-12.5,8.7,14
Dailies aqua comfort plus 30,846566845125,-12,8.7,14
Dailies aqua comfort plus 30,,-11.5,8.7,14
Dailies aqua comfort plus 30,846566845101,-11,8.7,14
Dailies aqua comfort plus 30,846566845095,-10.5,8.7,14
Dailies aqua comfort plus 30,630175476159,-10.00,8.7,14
Dailies aqua comfort plus 30,630175476142,-9.50,8.7,14
Dailies aqua comfort plus 30,630175476135,-9.00,8.7,14
Dailies aqua comfort plus 30,630175476128,-8.50,8.7,14
Dailies aqua comfort plus 30,630175476111,-8.00,8.7,14
Dailies aqua comfort plus 30,630175476104,-7.50,8.7,14
Dailies aqua comfort plus 30,630175476098,-7,8.7,14
Dailies aqua comfort plus 30,630175476081,-6.50,8.7,14
Dailies aqua comfort plus 30,630175476074,-6.00,8.7,14
Dailies aqua comfort plus 30,630175476067,-5.75,8.7,14
Dailies aqua comfort plus 30,630175476050,-5.50,8.7,14
Dailies aqua comfort plus 30,630175476043,-5.25,8.7,14
Dailies aqua comfort plus 30,630175476036,-5.00,8.7,14
Dailies aqua comfort plus 30,630175476029,-4.75,8.7,14
Dailies aqua comfort plus 30,630175476012,-4.50,8.7,14
Dailies aqua comfort plus 30,630175476005,-4.25,8.7,14
Dailies aqua comfort plus 30,630175475992,-4.00,8.7,14
Dailies aqua comfort plus 30,630175475985,-3.75,8.7,14
Dailies aqua comfort plus 30,630175475978,-3.50,8.7,14
Dailies aqua comfort plus 30,630175475961,-3.25,8.7,14
Dailies aqua comfort plus 30,630175475954,-3.00,8.7,14
Dailies aqua comfort plus 30,630175475947,-2.75,8.7,14
Dailies aqua comfort plus 30,630175475930,-2.50,8.7,14
Dailies aqua comfort plus 30,630175475923,-2.25,8.7,14
Dailies aqua comfort plus 30,630175475916,-2.00,8.7,14
Dailies aqua comfort plus 30,630175475909,-1.75,8.7,14
Dailies aqua comfort plus 30,630175475893,-1.50,8.7,14
Dailies aqua comfort plus 30,630175475886,-1.25,8.7,14
Dailies aqua comfort plus 30,630175475879,-1.00,8.7,14
Dailies aqua comfort plus 30,630175475862,-0.75,8.7,14
Dailies aqua comfort plus 30,630175475855,-0.50,8.7,14
Dailies aqua comfort plus 30,630175475848,0.50,8.7,14
Dailies aqua comfort plus 30,630175475831,0.75,8.7,14
Dailies aqua comfort plus 30,630175475824,1.00,8.7,14
Dailies aqua comfort plus 30,630175475817,1.25,8.7,14
Dailies aqua comfort plus 30,630175475800,1.50,8.7,14
Dailies aqua comfort plus 30,630175475794,1.75,8.7,14
Dailies aqua comfort plus 30,630175475787,2.00,8.7,14
Dailies aqua comfort plus 30,630175475770,2.25,8.7,14
Dailies aqua comfort plus 30,630175475763,2.50,8.7,14
Dailies aqua comfort plus 30,630175475756,2.75,8.7,14
Dailies aqua comfort plus 30,630175475749,3.00,8.7,14
Dailies aqua comfort plus 30,630175475732,3.25,8.7,14
Dailies aqua comfort plus 30,630175475725,3.50,8.7,14
Dailies aqua comfort plus 30,630175475718,3.75,8.7,14
Dailies aqua comfort plus 30,630175475701,4.00,8.7,14
Dailies aqua comfort plus 30,630175475695,4.25,8.7,14
Dailies aqua comfort plus 30,630175475688,4.50,8.7,14
Dailies aqua comfort plus 30,630175475671,4.75,8.7,14
Dailies aqua comfort plus 30,630175475664,5.00,8.7,14
Dailies aqua comfort plus 30,630175475657,5.25,8.7,14
Dailies aqua comfort plus 30,630175475640,5.50,8.7,14
Dailies aqua comfort plus 30,630175475633,5.75,8.7,14
Dailies aqua comfort plus 30,630175475626,6.00,8.7,14
Dailies aqua comfort plus 30,846566845057,6.50,8.7,14
Dailies aqua comfort plus 30,846566845064,7.00,8.7,14
Dailies aqua comfort plus 30,846566845071,7.50,8.7,14
Dailies aqua comfort plus 30,846566845088,8.00,8.7,14
