"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
Condition,Condition
"Add New Template","Add New Template"
"Save and Continue Edit","Save and Continue Edit"
"Save Template","Save Template"
"Edit Template '%1'","Edit Template '%1'"
"New Template","New Template"
"Load default template","Load default template"
Template,Template
"Load Template","Load Template"
"Template Information","Template Information"
"Apply Template At","Apply Template At"
"Template Name","Template Name"
"Insert Variable...","Insert Variable..."
"Template style","Template style"
"Stores -> Configuration -> Mageplaza -> ","Stores -> Configuration -> Mageplaza -> "
"PDF Invoice","PDF Invoice"
"Edit html","Edit html"
"HTML,","HTML,"
"CSS Supported","CSS Supported"
Preview,Preview
"You don't have permission to print this ' . . '.","You don't have permission to print this ' . . '."
"Invalid ' . . ' ID.","Invalid ' . . ' ID."
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
Templates,Templates
"This template no longer exists.","This template no longer exists."
"Cannot delete! The Template is using in config","Cannot delete! The Template is using in config"
"The Template has been deleted.","The Template has been deleted."
"Template to delete was not found.","Template to delete was not found."
"Create New Template","Create New Template"
"Manage Templates","Manage Templates"
"Load message success!","Load message success!"
"Cannot load template.","Cannot load template."
"Cannot delete template #%1! The Template is using in config","Cannot delete template #%1! The Template is using in config"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Please insert content to preview!","Please insert content to preview!"
"Can't preview. Please check HTML and Css in template.","Can't preview. Please check HTML and Css in template."
"This template does not exist.","This template does not exist."
"You saved the PDF template.","You saved the PDF template."
"Something went wrong while saving template.","Something went wrong while saving template."
"The document order id doesn't exist.","The document order id doesn't exist."
"The customer isn't authorized to access this document.","The customer isn't authorized to access this document."
"Incorrect Pdf Margin Format","Incorrect Pdf Margin Format"
"Pdf Margin %1 Must Be A Positive Float Number","Pdf Margin %1 Must Be A Positive Float Number"
"All Allowed Groups","All Allowed Groups"
"Specific Groups","Specific Groups"
SKU,SKU
"Product ID","Product ID"
"Product Name","Product Name"
EAN13,EAN13
ISBN,ISBN
ISSN,ISSN
UPC-A,UPC-A
UPC-E,UPC-E
EAN-8,EAN-8
"Intelligent Mail","Intelligent Mail"
"Royal Mail 4-state Customer","Royal Mail 4-state Customer"
"Royal Mail 4-state Customer (Dutch)","Royal Mail 4-state Customer (Dutch)"
POSTNET,POSTNET
PLANET,PLANET
"Code 128 A","Code 128 A"
"Code 128 B","Code 128 B"
"Code 128 C","Code 128 C"
"UCC/EAN-128 A","UCC/EAN-128 A"
