id,title,description,link,image link,price,condition,availability,gtin,mpn,brand,google product category,product type,sale price,sale price effective date,item group id,gender,age group,shipping weight,shipping,,,,,,,,,,,,,,,,,,,,,
aquilus001,Aquilu Vodaclea Daily,"you can enjoy crystal clear vision with enhanced comfort all day long thanks to the biocompatible material Hioxifilcon A and aspheric lens design.<br /><br />Ideal for patients with myopia and hyperopia, these premium contact lenses deliver sharper vision even in low light conditions.<br /><br />Available in both Daily and Monthly replacement schedules",https://lenssaver.co.uk/aquilustm-vodacleartm-daily.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/a/q/aquilus-vodaclear-daily-contact-lenses_3.jpg,GBP 9,new,in stock,630175449719,LS654987201,Aquilus,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
aquilus002,Aquilu Vodaclea Monthly,"you can enjoy crystal clear vision with enhanced comfort all day long thanks to the biocompatible material Hioxifilcon A and aspheric lens design. Ideal for patients with myopia and hyperopia, these premium contact lenses deliver sharper vision even in low light conditions. Best quality contact lenses at low price",https://lenssaver.co.uk/aquilus-vodaclear-monthly.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/a/q/aquilus-vodaclear-monthly-contact-lenses_1.jpg,GBP 10,new,in stock,680677290951,LS654987202,Aquilus,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
aquilus003,Lush Bloom Colored Contact Lenses,"LUSH colour monthly contact lens that will allow you to achieve different looks with comfort and style! Available in the?four Different Ranges of colors : CRYSTAL, ILLUME, LUCENT & BLOOM",https://lenssaver.co.uk/lush-bloom-colored-contact-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/l/u/lush-bloom-colored-contact-lenses.jpg,GBP 5,new,in stock,810705133671,LS654987203,Aquilus,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
focusdailies001,Focus Dailies All Day Comfort 30 Pack,"Focus Dailies All Day Comfort are one of our top-selling daily contact lenses, designed to provide maximum comfort to your eyes, all day long. Made from the unique Lightstream Technology, they have a thin edge which makes them easy to insert and comfortable to wear. The surface design reduces protein build ups, ensuring maximum hygiene and allowing more oxygen through to the front surface of the eye.",https://lenssaver.co.uk/focus-dailies-all-day-comfort-30-pack.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/f/o/focus-dailies-all-day-comfort-30-pack.jpg,GBP 10.75,new,in stock,311917072753,LS654987204,FocusDailies,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
focusdailies002,Focus Dailies All Day Comfort 90 Pack - 90 Lenses,"Focus Dailies All Day Comfort are one of our top-selling daily contact lenses, designed to provide maximum comfort to your eyes, all day long. Made from the unique Lightstream Technology, they have a thin edge which makes them easy to insert and comfortable to wear. The surface design reduces protein build ups, ensuring maximum hygiene and allowing more oxygen through to the front surface of the eye.",https://lenssaver.co.uk/focus-dailies-all-day-comfort-90-pack-90-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/f/o/focus-dailies-all-day-comfort-90-pack.jpg,GBP 32.5,new,in stock,630175476708,LS654987205,FocusDailies,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
focusdailies003,Focus Dailies Aqua Comfort Plus 30,"Alcon Dailies AquaComfort Plus contact lenses contain three moisturising agents. These agents act together to ensure long-lasting hydration for your eyes, relieving you from feelings of dryness and discomfort.",https://lenssaver.co.uk/alcon-focus-dailies-all-day-comfort-contact-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/d/a/dailies-aquacomfort-plus-contact-lenses_1.jpg,GBP 10.75,new,in stock,630175476708,LS654987206,FocusDailies,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
focusdailies004,Focus Dailies Aqua Comfort Plus 90,"CIBA Vision / Alcon Dailies AquaComfort Plus contact lenses contain three moisturising agents. These agents act together to ensure long-lasting hydration for your eyes, relieving you from feelings of dryness and discomfort.",https://lenssaver.co.uk/alcon-focus-dailies-aqua-comfort-plus-contact-lenses.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/f/o/focus-dailies-aqua-comfort-plus-90-contact-lenses.jpg,GBP 31.5,new,in stock,630175476173,LS654987207,FocusDailies,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon001,Dailies Aqua Comfort Plus Multifocal 90pack,"Dailies Aqua Comfort plus® Multifocal contact lenses are designed to remain stable on the eye, to help wearers with astigmatism enjoy crisp and clear vision. As they require no overnight storing, these daily lenses are ideal for those who live a busy lifestyle, and look for a fuss-free wearing experience.",https://lenssaver.co.uk/dailies-aqua-comfort-plus-multifocal-90-pack.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/d/a/dailies-aqua-comfort-plus-multifocal-90-pack.jpg,GBP 69,new,in stock,630175577566,LS654987208,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon002,Dailies Aqua Comfort Plus Toric 90 pack,"Dailies Aqua Comfort Plus Toric?contact lenses are designed to remain stable in the eye, to help wearers with astigmatism enjoy crisp and clear vision.? no overnight storing required",https://lenssaver.co.uk/dailies-aqua-comfort-plus-toric-90-pack.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/d/a/dailies-aqua-comfort-plus-toric-90-pack_4.jpg,GBP 51.25,new,in stock,630175476708,LS654987209,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon003,Dailies AquaComfort plus toric 30,"Dailies AquaComfort PLUS toric 30 contact lenses are designed to remain stable in the eye, to help wearers with astigmatism enjoy crisp and clear vision. no overnight storing required.Dailies AquaComfort PLUS toric contact lenses You blink over 14,000 times a day, a moisturising agent is released with every blink, providing comfort throughout the day.",https://lenssaver.co.uk/dailies-aquacomfort-plus-toric-30-pack.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/d/a/dailies-aqua-comfort-plus-toric-30-pack_2.jpg,GBP 17.95,new,in stock,630175554666,LS654987210,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon004,Dailies Total1 90 pack,"Dailies Total 1 are the world’s first water gradient contact lenses, designed to specifically match the natural water content of your eyes. Made from Silicone Hydrogel, a material that allows up to three times more oxygen to the eye than traditional soft lenses, Dailies Total 1 contact lenses provide increased oxygen and water permeability, ensuring your eyes stay hydrated, and your vision stays clear and comfortable for longer.",https://lenssaver.co.uk/dailies-total-1-90.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/d/a/dailies-total-1-90-pack.jpg,GBP 52.75,new,in stock,630175507983,LS654987211,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon005,Freshlook Colorblends,"Freshlook Colorblends use a three-in-one revolutionary technology to blend seamlessly with your eyes natural color, creating a subtle but powerful look. Looking for exotic shades? Try Gemstone Green or Brilliant Blue. Want a less dramatic enhancement? Grey or Amethyst is perfect for you.",https://lenssaver.co.uk/freshlook-colorblends.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/f/r/freshlook-colorblends-contact-lenses.jpg,GBP 12,new,in stock,730821602540,LS654987212,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
alcon006,Freshlook Illuminate,"Freshlook Illuminate lenses give your eyes a bold and distinctive look, without compromising on comfort. Innovative dual-layer printing technology darkens and enlarges your iris to match the warm, natural shades of darker colored eyes. The subtle tones of the lens blend with your iris color to create a natural look that can be worn every day of the week.",https://lenssaver.co.uk/freshlook-illuminate.html,https://lenssaver.co.uk/pub/media/catalog/product/cache/12/image/536x337/e9c3970ab036de70892d86c6d221abfe/f/r/freshlook-illuminate-contact-lenses.jpg,GBP 10,new,in stock,730821602540,LS654987213,Alcon,<g:google_product_category>2923</g:google_product_category>,Health & Beauty > Personal Care > Vision Care > Contact Lenses,,,,UNISEX,Adult,60 grams,UK::Standard:2.95 GBP,,,,,,,,,,,,,,,,,,,,,
